p,q,d,MAE
0,0,0,57509.75727734632
0,0,1,81849.6694159836
0,0,2,144467.04951331968
0,1,0,57536.312411452964
0,1,1,54339.10316095894
0,1,2,82249.14281728578
0,2,0,56809.03390309481
0,2,1,54974.69699144848
0,2,2,56935.56253415735
1,0,0,57188.13624651565
1,0,1,69262.05665728367
1,0,2,100813.66322802198
1,1,0,55098.842136808584
1,1,1,54751.268672148675
1,1,2,70590.2527547308
1,2,0,56300.048980188054
1,2,1,55205.041725190924
1,2,2,60651.32382237799
2,0,0,56499.20538645464
2,0,1,65373.34709033487
2,0,2,91295.72246827805
2,1,0,56641.47955261099
2,1,1,55497.041874633585
2,1,2,66704.98846363452
2,2,0,56859.82834014617
2,2,1,55311.886348698536
2,2,2,66276.8873426507
